2007,Oakville,"176,127",
2007,Orangeville,"28,169",
2007,Orillia,"30,986",
2007,Oshawa,"147,035",
2007,Ottawa,"855,674",
2007,Owen Sound,"22,436",
2007,Pelham,"16,711",
2007,Pembroke,"14,461",
2007,Penetanguishene,"9,486",
2007,Petawawa,"15,570",
2007,Peterborough,"78,511",
2007,Pickering,"91,288",
2007,Port Colborne,"18,968",
2007,Port Hope,"16,705",
2007,Prince Edward County,"25,924",include Picton
2007,Quinte West,"44,275",include Trenton
2007,Richmond Hill,"177,190",
2007,Sarnia,"73,915",
2007,Saugeen Shores,"12,178","include Port Elgin, Southampton"
2007,Sault Ste. Marie,"77,492",
2007,Shelburne,"5,487",
2007,St. Catharines,"135,617",
2007,St. Thomas,"37,978",
2007,Stratford,"31,547",
2007,Tecumseh,"24,957",
2007,Temiskaming Shores,"10,558","include Haileybury, New Liskeard"
2007,Thorold,"18,842",
2007,Thunder Bay,"112,118",
2007,Tillsonburg,"15,272",
2007,Timmins,"44,559",
2007,Toronto,"2,612,643",
2007,Vaughan,"259,651",
2007,Wasaga Beach,"16,052",
2007,Waterloo,"102,476",
2007,Welland,"52,037",
2007,Whitby,"118,533",
2007,Whitchurch - Stouffville,"28,011",
2007,Windsor,"223,129",
2007,Woodstock,"37,367",
2012,Ajax,"115,435",
2012,Amherstburg,"22,142",
2012,Arnprior,"8,607",
2012,Aurora,"55,020",
2012,Barrie,"142,135",
2012,Belleville,"50,847",
2012,Bracebridge,"16,125",
2012,Bradford West Gwillimbury,"30,712",
2012,Brampton,"555,850",
2012,Brant,"37,010",include Paris
2012,Brantford,"96,735",
2012,Brockville,"22,289",
2012,Burlington,"182,992",
2012,Caledon,"62,347",include Bolton
2012,Cambridge,"131,448",
2012,Carleton Place,"10,150",
2012,Chatham - Kent,"105,591",
2012,Clarence-Rockland,"24,386",
2012,Clarington,"88,935","include Bowmanville, Newcastle"
2012,Cobourg,"19,353",
2012,Collingwood,"20,683",
2012,Cornwall,"47,509",
2012,East Gwillimbury,"23,225","include Holland Landing, Sharon"
2012,Elliot Lake,"11,279",
2012,Erin,"11,170",
2012,Essex,"20,162",
2012,Fort Erie,"30,796",
2012,Georgina,"45,058",include Keswick
2012,Gravenhurst,"12,368",
2012,Greater Napanee,"16,116",include Napanee
2012,Greater Sudbury,"165,293",Grand Sudbury
2012,Grimsby,"26,468",
2012,Guelph,"127,665",
2012,Haldimand County,"45,705","include Cayuga, Caledonia, Hagersville"
2012,Halton Hills,"60,903","include Acton, Georgetown"
2012,Hamilton,"538,434",
2012,Hawkesbury,"10,769",
2012,Huntsville,"19,698",
2012,Ingersoll,"12,640",
2012,Innisfil,"33,755",
2012,Kawartha Lakes,"75,520",include Lindsay
2012,Kenora,"15,646",
2012,Kingston,"126,695",
2012,Kingsville,"22,017",
2012,Kitchener,"228,888",
2012,Lakeshore,"35,879","include Belle River, Tilbury"
2012,LaSalle,"29,603",
2012,Leamington,"28,864",
2012,Lincoln,"23,361",include Beamsville
2012,London,"380,426",
2012,Markham,"318,025",
2012,Midland,"17,032",
2012,Milton,"93,676",
2012,Mississauga,"738,907",
2012,Mississippi Mills,"12,765",include Almonte
2012,Mono,"7,773",
2012,Newmarket,"83,475",
2012,New Tecumseth,"32,074",include Alliston
2012,Niagara Falls,"86,250",
2012,Niagara-on-the-Lake,"15,988",
2012,Norfolk County,"64,626",include Simcoe
2012,North Bay,"54,619",
2012,Oakville,"189,726",
2012,Orangeville,"28,739",
2012,Orillia,"31,173",
2012,Oshawa,"155,219",
2012,Ottawa,"921,644",
2012,Owen Sound,"21,946",
2012,Pelham,"17,059",
2012,Pembroke,"14,669",
2012,Penetanguishene,"9,354",
2012,Petawawa,"16,726",
2012,Peterborough,"81,090",
2012,Pickering,"91,571",
2012,Port Colborne,"18,906",
2012,Port Hope,"16,668",
2012,Prince Edward County,"25,538",include Picton
2012,Quinte West,"44,190",include Trenton
2012,Richmond Hill,"194,033",
2012,Sarnia,"74,036",
2012,Saugeen Shores,"13,191","include Port Elgin, Southampton"
2012,Sault Ste. Marie,"76,642",
2012,Shelburne,"6,388",
2012,St. Catharines,"135,403",
2012,St. Thomas,"39,066",
2012,Stratford,"31,961",
2012,Tecumseh,"24,006",
2012,Temiskaming Shores,"10,592","include Haileybury, New Liskeard"
2012,Thorold,"18,157",
2012,Thunder Bay,"111,374",
2012,Tillsonburg,"15,976",
2012,Timmins,"44,231",
2012,Toronto,"2,737,698",
2012,Vaughan,"304,196",
2012,Wasaga Beach,"18,503",
2012,Waterloo,"102,759",
2012,Welland,"52,081",
2012,Whitby,"128,095",
2012,Whitchurch - Stouffville,"41,743",
2012,Windsor,"218,308",
2012,Woodstock,"39,716",
2017,Ajax,"125,012",
2017,Amherstburg,"22,745",
2017,Arnprior,"9,085",
2017,Aurora,"59,113",
2017,Barrie,"145,536",
2017,Belleville,"53,023",
2017,Bracebridge,"16,846",
2017,Bradford West Gwillimbury,"39,682",
2017,Brampton,"638,663",
2017,Brant,"37,143",include Paris
2017,Brantford,"102,745",
2017,Brockville,"21,774",
2017,Burlington,"188,899",
